company name,ro number,city,sales person,Approving Authonity,Date,Name of Establishment Being Advertised,Category of Business,Ad display city,ad Code,Offered Rate,"publish Date( eg. Nov FH, NOV SH )",Spl Instr,Net Payable,session
G.C.Taste Maker //,16878,Bangalore,prathap,Dev,2/1/2014,G.C.Taste Maker,Eating Out,Bangalore,FPC;FPC;FPC;FPC;FPC;FPC;FPC;FPC;FPC;FPC,4000;0;4000;0;4000;0;4000;0;4000;0,FH-Feb-2014;SH-Feb-2014;FH-Mar-2014;SH-Mar-2014;FH-April-2014;SH-April-2014;FH-May-2014;SH-May-2014;FH-June-2014;SH-June-2014,,4000;0;4000;0;4000;0;4000;0;4000;0,FH;SH;FH;SH;FH;SH;FH;SH;FH;SH
Vijaya Laxshmi Silks & saree,17199,Bangalore,prathap,Dev,2/1/2014,Vijaya Laxshmi Silks & saree,Shopping,Bangalore,FPC;FPC;FPC;FPC;FPC;FPC;FPC;FPC;FPC;FPC;FPC;FPC;FPC;FPC;FPC;FPC;FPC;FPC;FPC;FPC;FPC;FPC,6000;0;6000;0;6000;0;6000;0;6000;0;6000;0;6000;0;6000;0;6000;0;6000;0;0;6000,FH-Feb-2014;SH-Feb-2014;FH-Mar-2014;SH-Mar-2014;FH-April-2014;SH-April-2014;FH-May-2014;SH-May-2014;FH-June-2014;SH-June-2014;FH-Jul-2014;SH-Jul-2014;FH-Aug-2014;SH-Aug-2014;FH-Sept-2014;SH-Sept-2014;FH-Oct-2014;SH-Oct-2014;FH-Nov-2014;SH-Nov-2014;FH-Dec-2014;SH-Dec-2014,,6000;0;6000;0;6000;0;6000;0;6000;0;6000;0;6000;0;6000;0;6000;0;6000;0;0;6000,FH;SH;FH;SH;FH;SH;FH;SH;FH;SH;FH;SH;FH;SH;FH;SH;FH;SH;FH;SH;FH;SH
Helicon Consulting,17200,Bangalore,prathap,Dev,2/1/2014,Helicon Consulting,Shopping,Bangalore,FPC;FPC;FPC;FPC;FPC;FPC,3000;3000;3000;3000;3000;3000,FH-Feb-2014;SH-Feb-2014;FH-Mar-2014;SH-Mar-2014;FH-April-2014;SH-April-2014,,3000;3000;3000;3000;3000;3000,FH;SH;FH;SH;FH;SH
Simply sofas,16639,Bangalore,Shivraj,Dev,2/1/2014,Simply sofas,Shopping,Bangalore,FPC,3000,FH-Feb-2014,,3000,FH
Mahesh lunch home,16632,Bangalore,Shivraj,Dev,2/1/2014,Mahesh lunch home,Hotels,Bangalore,FPC;FPC,4500;4500,FH-Feb-2014;SH-Feb-2014,,4500;4500,FH;SH
College,17074,Bangalore,prathap,Dev,2/1/2014,College,Shopping,Bangalore,FPC;FPC;FPC;FPC;FPC;FPC;FPC;FPC;FPC;FPC;FPC;FPC;FPC;FPC;FPC;FPC,4500;4500;4500;4500;4500;4500;4500;4500;4500;4500;4500;4500;4500;4500;4500;4500,FH-Feb-2014;SH-Feb-2014;FH-Mar-2014;SH-Mar-2014;FH-April-2014;SH-April-2014;FH-May-2014;SH-May-2014;FH-June-2014;SH-June-2014;FH-Jul-2014;SH-Jul-2014;FH-Aug-2014;SH-Aug-2014;FH-Sept-2014;SH-Sept-2014,,4500;4500;4500;4500;4500;4500;4500;4500;4500;4500;4500;4500;4500;4500;4500;4500,FH;SH;FH;SH;FH;SH;FH;SH;FH;SH;FH;SH;FH;SH;FH;SH
Central Cottage Industries Corporation,17093,Bangalore,Swetha,Dev,2/1/2014,Central Cottage Industries Corporation,Shopping,Bangalore,FPC;FPC;FPC;FPC;FPC;FPC;FPC;FPC;FPC;FPC;FPC;FPC;FPC;FPC;FPC;FPC,4166;4166;4166;4166;4166;4166;4166;4166;4166;4166;4166;4166;4166;4166;4166;4166,FH-Feb-2014;SH-Feb-2014;FH-Mar-2014;SH-Mar-2014;FH-April-2014;SH-April-2014;FH-May-2014;SH-May-2014;FH-June-2014;SH-June-2014;FH-Jul-2014;SH-Jul-2014;FH-Aug-2014;SH-Aug-2014;FH-Sept-2014;SH-Sept-2014,,4166;4166;4166;4166;4166;4166;4166;4166;4166;4166;4166;4166;4166;4166;4166;4166,FH;SH;FH;SH;FH;SH;FH;SH;FH;SH;FH;SH;FH;SH;FH;SH
Zyn Cafe,16905,Bangalore,prathap,Dev,2/1/2014,Zyn Cafe,Shopping,Bangalore,FPC;FPC;FPC;FPC;FPC;FPC;FPC;FPC;FPC;FPC;FPC,5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000,FH-Feb-2014;SH-Feb-2014;FH-Mar-2014;SH-Mar-2014;FH-April-2014;SH-April-2014;FH-May-2014;SH-May-2014;FH-June-2014;SH-June-2014;FH-Jul-2014,,5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000,FH;SH;FH;SH;FH;SH;FH;SH;FH;SH;FH
Eagleton The ts Golf Resor,16796,Bangalore,Shivraj,Dev,2/1/2014,Eagleton The ts Golf Resor,Hotels,Bangalore,FPC;FPC;FPC;FPC;FPC;FPC;FPC,2000;2000;2000;2000;2000;2000;2000,FH-Feb-2014;SH-Feb-2014;FH-Mar-2014;SH-Mar-2014;FH-April-2014;SH-April-2014;FH-May-2014,,2000;2000;2000;2000;2000;2000;2000,FH;SH;FH;SH;FH;SH;FH
Annapoorna Enterprises,16815,Bangalore,prathap,Dev,2/1/2014,Annapoorna Enterprises,Eating Out,Bangalore,FPC;FPC;FPC;FPC;FPC;FPC;FPC;FPC,3000;3000;3000;3000;3000;3000;3000;3000,FH-Feb-2014;SH-Feb-2014;FH-Mar-2014;SH-Mar-2014;FH-April-2014;SH-April-2014;FH-May-2014;SH-May-2014,,3000;3000;3000;3000;3000;3000;3000;3000,FH;SH;FH;SH;FH;SH;FH;SH
Deepam Silks & Sarees Pvt Ltd,17075,Bangalore,prathap,Dev,2/1/2014,Deepam Silks & Sarees Pvt Ltd,Shopping,Bangalore,FPC;FPC;FPC;FPC;FPC;FPC;FPC;FPC;FPC;FPC;FPC;FPC;FPC;FPC;FPC;FPC,15000;15000;15000;15000;15000;15000;15000;15000;15000;15000;15000;15000;15000;15000;15000;15000,FH-Feb-2014;SH-Feb-2014;FH-Mar-2014;SH-Mar-2014;FH-April-2014;SH-April-2014;FH-May-2014;SH-May-2014;FH-June-2014;SH-June-2014;FH-Jul-2014;SH-Jul-2014;FH-Aug-2014;SH-Aug-2014;FH-Sept-2014;SH-Sept-2014,,15000;15000;15000;15000;15000;15000;15000;15000;15000;15000;15000;15000;15000;15000;15000;15000,FH;SH;FH;SH;FH;SH;FH;SH;FH;SH;FH;SH;FH;SH;FH;SH
Mint,17087,Bangalore,Swetha,Dev,2/1/2014,Mint,Shopping,Bangalore,FPC;FPC,3000;3000,FH-Feb-2014;SH-Feb-2014,,3000;3000,FH;SH
Best Western Premier - La Marvella,17098,Bangalore,Manjnath,Dev,2/1/2014,Best Western Premier - La Marvella,Hotels,Bangalore,FPC;FPC;FPC;FPC;FPC;FPC;FPC;FPC;FPC;FPC;FPC;FPC;FPC;FPC;FPC;FPC,3500;3500;3500;3500;3500;3500;3500;3500;3500;3500;3500;3500;3500;3500;3500;3500,FH-Feb-2014;SH-Feb-2014;FH-Mar-2014;SH-Mar-2014;FH-April-2014;SH-April-2014;FH-May-2014;SH-May-2014;FH-June-2014;SH-June-2014;FH-Jul-2014;SH-Jul-2014;FH-Aug-2014;SH-Aug-2014;FH-Sept-2014;SH-Sept-2014,,3500;3500;3500;3500;3500;3500;3500;3500;3500;3500;3500;3500;3500;3500;3500;3500,FH;SH;FH;SH;FH;SH;FH;SH;FH;SH;FH;SH;FH;SH;FH;SH
Mint,17126,Bangalore,Swetha,Dev,2/1/2014,Mint,Shopping,Bangalore,FPC;FPC,3000;3000,FH-Feb-2014;SH-Feb-2014,,3000;3000,FH;SH
Thar handicrafts Gallery,17206,Bangalore,prathap,Dev,2/1/2014,Thar handicrafts Gallery,Shopping,Bangalore,FPC;FPC;FPC;FPC,2500;2500;2500;2500,FH-Feb-2014;SH-Feb-2014;FH-Mar-2014;SH-Mar-2014,,2500;2500;2500;2500,FH;SH;FH;SH
Artefacts,17047,Bangalore,Inhouse,Dev,2/1/2014,Artefacts,Shopping,Bangalore,HPC;HPC;HPC;HPC,2500;2500;2500;2500,FH-Feb-2014;SH-Feb-2014;FH-Mar-2014;SH-Mar-2014,,2500;2500;2500;2500,FH;SH;FH;SH
Harima,16782,Bangalore,Inhouse,Dev,2/1/2014,Harima,Hotels,Bangalore,HPC;HPC;HPC;HPC;HPC;HPC,2635;2635;2635;2635;2635;2635,FH-Feb-2014;SH-Feb-2014;FH-Mar-2014;SH-Mar-2014;FH-April-2014;SH-April-2014,,2635;2635;2635;2635;2635;2635,FH;SH;FH;SH;FH;SH
Pok Enterprises,16766,Bangalore,Inhouse,Dev,2/1/2014,Pok Enterprises,Hotels,Bangalore,QPC;QPC;QPC;QPC,1000;1000;1000;1000,FH-Feb-2014;SH-Feb-2014;FH-Mar-2014;SH-Mar-2014,,1000;1000;1000;1000,FH;SH;FH;SH
Sues Food Place,16817,Bangalore,Inhouse,Dev,2/1/2014,Sues Food Place,Hotels,Bangalore,QPC;QPC;QPC;QPC;QPC;QPC;QPC;QPC,1000;0;1000;0;1000;0;1000;0,FH-Feb-2014;SH-Feb-2014;FH-Mar-2014;SH-Mar-2014;FH-April-2014;SH-April-2014;FH-May-2014;SH-May-2014,,1000;0;1000;0;1000;0;1000;0,FH;SH;FH;SH;FH;SH;FH;SH
Penrhiw enterprieses,16825,Bangalore,kumarsr,Dev,2/1/2014,Penrhiw enterprieses,Shopping,Bangalore,SPSL;SPSL;SPSL;SPSL;SPSL;SPSL;SPSL;SPSL,3000;3000;3000;3000;3000;3000;3000;3000,FH-Feb-2014;SH-Feb-2014;FH-Mar-2014;SH-Mar-2014;FH-April-2014;SH-April-2014;FH-May-2014;SH-May-2014,,3000;3000;3000;3000;3000;3000;3000;3000,FH;SH;FH;SH;FH;SH;FH;SH
Gangur exports pvt ltd,16826,Bangalore,kumarsr,Dev,2/1/2014,Gangur exports pvt ltd,Shopping,Bangalore,SPSL;SPSL;SPSL;SPSL;SPSL;SPSL;SPSL;SPSL,1500;1500;1500;1500;1500;1500;1500;1500,FH-Feb-2014;SH-Feb-2014;FH-Mar-2014;SH-Mar-2014;FH-April-2014;SH-April-2014;FH-May-2014;SH-May-2014,,1500;1500;1500;1500;1500;1500;1500;1500,FH;SH;FH;SH;FH;SH;FH;SH
Small Shop,16827,Bangalore,kumarsr,Dev,2/1/2014,Small Shop,Shopping,Bangalore,SPSL;SPSL;SPSL;SPSL;SPSL;SPSL;SPSL;SPSL,1500;1500;1500;1500;1500;1500;1500;1500,FH-Feb-2014;SH-Feb-2014;FH-Mar-2014;SH-Mar-2014;FH-April-2014;SH-April-2014;FH-May-2014;SH-May-2014,,1500;1500;1500;1500;1500;1500;1500;1500,FH;SH;FH;SH;FH;SH;FH;SH
Sharmilla Khanna & Association,17212,Bangalore,Manjnath,Dev,2/15/2014,Sharmilla Khanna & Association,Shopping,Bangalore,CVS,45000,SH-Feb-2014,,45000,SH
